outcome,specification,velocity_coef,velocity_se,velocity_p_value,r_squared,n_obs,player_clusters
IL_days,main,4.241254935944509,1.1485992205502749,0.0002220205624987648,0.07029438015443523,184,106
IL_days,no_current_ip,4.277156787383608,1.1819694280456474,0.0002961214568175984,0.07018640377589114,184,106
WAR_per_IP,main,0.001470981000204468,0.00035546705266026584,3.5009592754241913e-05,0.2156597823695997,184,106
Postseason_WAR_proxy,main,0.008018598220874643,0.004504436463350163,0.07505048395356043,0.0964689096383119,184,106
IL_days,prior_il_control,4.316694513096828,2.0009620208204923,0.03098155198522002,0.1534336806588079,78,46
