outcome,sample,did_coef,se,p_value,effect_display,unit
Revenue,full_2017_2026,97371428.57142675,22348586.260747008,1.318939663265311e-05,+97.37M,usd
Team_Value,full_2017_2026,1655238095.23807,456313229.8761994,0.0002862714166545502,+1.655B,usd
Operating_Income,full_2017_2026,-2840000.000002457,50531079.30303873,0.9551800637002961,-2.84M,usd
OI_Margin_Pct,full_2017_2026,-0.13171428571429183,0.10255886138932277,0.19904403213529254,-13.17 pp,percentage_points
Revenue,excl_2020_2021,89800000.0,21772016.29003002,3.714432306211003e-05,+89.80M,usd
Team_Value,excl_2020_2021,1622666666.6666656,466817302.2987577,0.000508912756774765,+1.623B,usd
Operating_Income,excl_2020_2021,34999999.99999982,48373008.101464085,0.46934572909101224,+35.00M,usd
OI_Margin_Pct,excl_2020_2021,0.09119999999999959,0.1005993695844278,0.3646361804638164,+9.12 pp,percentage_points
