season,team,active_roster_payroll,injured_list_payroll,suspended_restricted_payroll,dead_money,retained_payroll,minor_league_payroll,signing_bonus,total_adjusted_payroll,CBT_Tax_Paid,Road_Attendance,Postseason_Home_Games,Injured_Salary_Loss,Superstar_Era,Pure_Marginal_Benefit,Team_Value,Revenue,Operating_Income,OI_Margin_Pct,Player_Expenses_External,Player_Exp_Pct,Win_Player_Cost_Ratio,Wins,Avg_Ticket_Price
2017,LAD,184220291,22654516,,34273808.0,7218848,10735130,0,259102593,40102198,33647.0,8,19059073.27,0,162795209,2800000000,462000000,21000000,0.05,275000000,0.6,64,104,64
2018,LAD,160502596,3908850,,9216666.0,21325013,4628920,0,199582045,0,33197.0,8,22458887.05,0,322417955,3000000000,522000000,68000000,0.13,261000000,0.5,84,92,64
2019,LAD,157394622,1341835,555000.0,6616666.0,35356214,5736477,0,207000814,0,33427.0,3,18224682.1,0,341999186,3300000000,549000000,95000000,0.17,208000000,0.38,93,106,64
2022,LAD,225618515,28920266,,2250000.0,3082866,1256241,0,264996019,32397344,31232.0,2,15589718.58,0,267606637,4100000000,565000000,-7900000,-0.01,288000000,0.51,68,111,64
2023,LAD,144170915,33764202,20715030.0,1000000.0,34802727,1294237,0,235747111,19423297,31504.0,2,6520130.16,0,325829592,4800000000,581000000,14000000,0.02,269000000,0.46,78,100,64
2024,LAD,198627830,37949016,740000.0,1100000.0,25606461,2616901,0,266640208,103016896,35808.0,8,9223715.85,1,179342896,5500000000,549000000,26000000,0.05,228000000,0.42,89,98,64
2025,LAD,265974625,48883969,,,30578312,4587200,0,350024106,169375769,35703.0,9,26635554.27,1,232600125,6800000000,752000000,21000000,0.03,349000000,0.46,84,87,64
