Æ÷½ºÆ®½ÃÁð,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,"HR/FB
HR/FB - Home Run to Fly Ball Ratio",vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,2025,LAD,17,13,4,5,76,17,165,9.16,3.6,0.65,0.275,76.10%,47.50%,8.60%,,3.11,3.61,3.41,3.77
2,2020,LAD,18,13,5,6,94,18,160.2,10.81,3.19,1.18,0.282,77.10%,39.70%,13.40%,,3.42,4.03,3.61,3.79
3,2021,LAD,12,6,6,2,71,12,105,10.89,2.4,1.11,0.287,79.20%,34.20%,11.00%,,3.17,3.57,3.25,3.62
4,2018,LAD,16,8,8,3,90,16,152,9.71,3.08,0.95,0.264,74.90%,46.30%,11.50%,,3.49,3.37,3.46,3.6
5,2017,LAD,15,10,5,5,81,15,135.2,8.96,2.26,1.92,0.207,87.10%,43.80%,20.70%,,3.32,3.5,4.81,3.87
6,2019,LAD,5,2,3,0,26,5,45,8.4,4,1,0.267,73.60%,40.30%,9.80%,,4.2,5.06,4.33,5.14
7,2022,LAD,4,1,3,1,22,4,34,11.91,3.18,1.06,0.326,75.50%,40.90%,10.80%,,3.71,3.25,3.05,3.14
8,2024,LAD,16,11,5,5,86,16,142,7.86,4.18,1.39,0.256,76.50%,38.20%,12.20%,,4.5,5.44,5.08,5
9,2023,LAD,3,0,3,0,17,3,26,9,3.81,3.12,0.282,78.20%,45.50%,36.00%,,6.58,7.58,7.26,4.34
